,2020,2021,2022,2023,2024
PAM_1,89.3,78.77272727272727,87.6875,85.86363636363636,86.25
PAM_2,6.800000000000001,14.499999999999998,8.6875,5.909090909090909,9.0
PAM_3,1.15,4.454545454545455,0.8125,3.6363636363636362,0.0
PAM_4,2.75,2.272727272727273,2.8125,4.590909090909091,4.75
