Month,Conf1,Conf2,Conf3,Conf4
2020-03-01,0.9999987,0.9239785,0.29124618,0.584273
2020-04-01,1.0,0.39960688,0.9048661,0.98209655
2020-05-01,0.9999999,0.9728872,0.011945584,0.6433112
2020-06-01,1.0,0.9815414,0.99947137,0.94504267
2020-07-01,0.9999931,0.8547333,0.94076484,0.4694273
2020-08-01,0.9991861,0.9340891,0.5047878,0.93991375
2020-09-01,1.0,0.99941444,0.54735214,0.7941722
2020-10-01,1.0,0.96936214,0.9949378,0.58390766
2020-11-01,0.99999976,0.8833406,0.9884852,0.92776006
2020-12-01,0.99999964,0.99702865,0.27643454,0.8961799
2021-01-01,0.999982,0.99935025,0.20274748,0.80993104
2021-02-01,0.99999976,0.9942267,1.6377397e-05,0.6954519
2021-03-01,0.9999889,0.8948168,0.018419035,0.5935979
2021-04-01,0.99979633,0.99791294,0.97657883,0.8061985
2021-05-01,0.9999974,0.9964412,0.32352537,0.39525092
2021-06-01,0.9999987,0.5683455,0.0009535602,0.6362008
2021-07-01,0.9999999,0.8665725,0.33921352,0.7654775
2021-09-01,0.9999932,0.1344795,0.9999583,0.2898504
2021-10-01,1.0,0.993658,0.4288501,0.7861428
2021-11-01,0.9999838,0.997191,0.0051885983,0.80737656
2021-12-01,1.0,0.99998343,0.9195595,0.95947474
2022-01-01,0.99999976,0.9942021,0.0007477349,0.9987801
2022-02-01,0.99998343,0.99034226,9.140551e-05,0.29015076
2022-03-01,0.9999999,0.9848067,0.9910869,0.98926663
2022-04-01,0.99999976,0.998211,0.33905885,0.9797665
2022-05-01,0.9999887,0.99792373,0.019213034,0.7752007
2022-06-01,0.99999726,0.9985911,0.092294395,0.87971365
2022-07-01,0.9999999,0.69609296,0.9998628,0.94861764
2022-08-01,1.0,0.15145542,0.00032384665,0.7689096
2023-01-01,1.0,0.89512277,0.15380114,0.8732292
2023-02-01,0.9999999,0.26433262,0.9136942,0.8459869
2023-03-01,0.9999976,0.9922042,0.020014083,0.979042
2023-04-01,0.99999833,0.9946957,6.0495924e-05,0.9996449
2023-05-01,0.9999994,0.96436554,0.9997174,0.3207641
2023-06-01,0.9999999,0.9965341,0.9991472,0.5194543
2023-07-01,0.99998975,0.9643444,0.8915989,0.6259393
2023-08-01,1.0,0.85923654,0.9712597,0.12640508
2023-09-01,1.0,0.9556685,0.99143946,0.7593794
2023-10-01,1.0,0.16176213,0.044049002,0.9997341
2023-11-01,1.0,0.58906573,0.8001613,0.92025363
2024-03-01,0.9999994,0.9738558,0.0020293405,0.97997004
2024-04-01,1.0,0.9975599,0.3067311,1.0
