Date,Conf1,Conf2,Conf3,Conf4
2020-03-31,0.943433561665827,0.0460110389824943,0.0027861271266185115,0.00776927222506008
2020-04-30,0.9484624989360002,0.01684507163458264,0.016838774595597666,0.017853654833819503
2020-05-31,0.8809142189876189,0.10535816245043267,6.0565136737021324e-05,0.013667053425211592
2020-06-30,0.8814731187626267,0.0604807905572248,0.02577917710234828,0.03226691357780017
2020-07-31,0.8896739020297855,0.06894041696014658,0.03395744173981382,0.00742823927025426
2020-08-31,0.7493881540548043,0.19256507981173845,0.015775544316623674,0.0422712218168334
2020-09-30,0.926675489090311,0.043460914180851816,0.01010325748727821,0.019760339241558914
2020-10-31,0.9585670103525236,0.01665647928778616,0.02019940825954125,0.004577102100148996
2020-11-30,0.9081830382399293,0.04654020395333481,0.008075365653162471,0.03720139215357339
2020-12-31,0.7670896050956288,0.21846058506701846,0.0020902641489377064,0.012359545688415078
2021-01-31,0.7501989905500398,0.19672518035128017,0.0011586196559424998,0.0519172094427374
2021-02-28,0.8057824152310938,0.17614636699381414,2.430620086167269e-07,0.01807097471308352
2021-03-31,0.916213294848212,0.0734677322490718,0.000218455098527106,0.010100517804189019
2021-04-30,0.6600091582910808,0.2267698725734543,0.03256577987994661,0.08065518925551829
2021-05-31,0.8403509657157571,0.14346616027154865,0.0036516986298144776,0.012531175382879903
2021-06-30,0.9418002164263043,0.05209536536255701,1.2466709292187183e-05,0.006091951501846612
2021-07-31,0.9318423669692124,0.03152903962387075,0.003303883112510508,0.03332471029440638
2021-08-31,,,,
2021-09-30,0.6351519422222731,0.010357044140012456,0.3497965218289308,0.004694491808783686
2021-10-31,0.8092778068694423,0.11152564461275553,0.007152867283422772,0.07204368123437942
2021-11-30,0.7449440748472357,0.17341073296593687,7.680893752826779e-05,0.0815683832492991
2021-12-31,0.8744397752161382,0.05422043210700558,0.015615622173633534,0.05572417050322283
2022-01-31,0.9013352952084033,0.07888218486655278,5.193238805544544e-06,0.019777326686238418
2022-02-28,0.759137872276816,0.23254193800423215,4.903478123946818e-07,0.008319699371139555
2022-03-31,0.678673630505185,0.1656886801718915,0.051812590246189005,0.10382509907673454
2022-04-30,0.8099103080420367,0.12301465071676443,0.002650974665575714,0.06442406657562305
2022-05-31,0.8580062775187982,0.12979116271762905,0.00013358877791110285,0.012068970985661676
2022-06-30,0.8265331394358598,0.14722962684093635,0.000827955538275364,0.025409278184928406
2022-07-31,0.9694426535891745,0.014575560780820942,0.010168033872960938,0.005813751757043763
2022-08-31,0.8767681897073403,0.013312864781559432,2.2481287661961716e-06,0.10991669738233403
2022-09-30,,,,
2022-10-31,,,,
2022-11-30,,,,
2022-12-31,,,,
2023-01-31,0.9391794074819658,0.0378717628812127,0.004220878606594217,0.018727951030227313
2023-02-28,0.9540371274668533,0.014379935854406455,0.008433245261355993,0.023149691417384204
2023-03-31,0.8593737864614636,0.12225068825500518,0.00020875361162715354,0.018166771671904048
2023-04-30,0.5793206425151993,0.1914649847319156,3.167183426066235e-07,0.22921405603454242
2023-05-31,0.772523757334675,0.12269360485197252,0.0926438792481599,0.012138758565192389
2023-06-30,0.6049191953723616,0.25451482111961493,0.12365165865008895,0.016914324857934496
2023-07-31,0.812902151722978,0.09265483820010155,0.06559271102604314,0.028850299050877354
2023-08-31,0.9011580071826358,0.019844686097549476,0.06470991826082184,0.014287388458992883
2023-09-30,0.7205134344046279,0.015824984623540077,0.04902949761304336,0.21463208335878864
2023-10-31,0.784052008896949,0.03150681338028735,0.000427240460071938,0.1840139372626916
2023-11-30,0.948465754573526,0.012811883578954807,0.032401853717808966,0.00632050812971016
2023-12-31,,,,
2024-01-31,,,,
2024-02-29,,,,
2024-03-31,0.5655953257897556,0.2364997502617215,1.0341226251036762e-05,0.19789458272227195
2024-04-30,0.7388320612123392,0.15297205017276844,0.0020813255130591457,0.10611456310183318
