Month,Conf1,Conf2,Conf3,Conf4
2020-03-01,0.9406052398,0.0483115909341005,0.0029254334830997016,0.00815773583673216
2020-04-01,0.9484624981415,0.016845071620472087,0.01683877458149236,0.017853654818864084
2020-05-01,0.880914220745,0.1053581626606171,6.056513685784584e-05,0.01366705345247673
2020-06-01,0.8814731218801499,0.06048079077112849,0.025779177193522046,0.032266913691919245
2020-07-01,0.8796739034600001,0.06894041707223315,0.033957441795023496,0.01742823929858995
2020-08-01,0.649388154328,0.19256507989275,0.015775544323260456,0.1422712218766865
2020-09-01,0.83400794299,0.13911482289449514,0.009092931769173052,0.017784305377295972
2020-10-01,0.9585670161265,0.01665647938811732,0.020199408381213476,0.004577102127719472
2020-11-01,0.9081830352525,0.046540203800242846,0.008075365626598966,0.03720139203120101
2020-12-01,0.7670896053440001,0.21846058513775257,0.0020902641496145834,0.012359545692416958
2021-01-01,0.67517909420865,0.177052663027745,0.001042757694539284,0.04672548868625825
2021-02-01,0.725204173666,0.1585317302852548,2.187558077423897e-07,0.01626387724083361
2021-03-01,0.9162132957,0.0734677323173735,0.00021845509873021353,0.010100517813579355
2021-04-01,0.72601007323715,0.3494468595274,0.035822357824370904,0.08872070807316
2021-05-01,0.840350968105,0.14346616067944434,0.003651698640196869,0.012531175418507907
2021-06-01,0.9418002194,0.052095365527046,1.2466709331550307e-05,0.0060919515210817975
2021-07-01,0.931842364695,0.03152903954692248,0.0033038831044472487,0.03332471021307561
2021-09-01,0.92569752291505,0.013464157349828905,0.4547354772905235,0.006102839336829465
2021-10-01,0.728350027149,0.10037308028467257,0.0064375805636230805,0.0648393131969816
2021-11-01,0.595955258243515,0.2387285859923175,6.144714985410922e-05,0.0652547064204929
2021-12-01,0.874439781552775,0.054220432499914505,0.015615622286792348,0.05572417090702866
2022-01-01,0.9013352912939,0.07888218452396716,5.193238782990284e-06,0.019777326600345403
2022-02-01,0.7591378745180001,0.23254193869076,4.903478138423237e-07,0.00831969939570161
2022-03-01,0.6786736327185,0.1656886807122414,0.05181259041516216,0.10382509941533272
2022-04-01,0.80991030385325,0.12301465008054326,0.0026509746518651282,0.0644240662424273
2022-05-01,0.8580062750646501,0.1297911623463885,0.00013358877752905852,0.012068970951140998
2022-06-01,0.8265331394915001,0.1472296268508475,0.0008279555383311682,0.02540927818663899
2022-07-01,0.969442654746625,0.014575560798223237,0.010168033885100933,0.005813751763985024
2022-08-01,0.9855358710500001,0.003445993420956853,2.270610052436557e-06,0.011015864286652991
2023-01-01,0.939179408515,0.03787176292286918,0.00422087861123699,0.018727951050826853
2023-02-01,0.9132296983249999,0.01150394862853265,0.00674659617683391,0.18519753045377056
2023-03-01,0.859373792817,0.1222506891591155,0.00020875361317105795,0.01816677180625725
2023-04-01,0.76898096673245,0.2871974780760355,4.7507751552799563e-07,0.24382108522282941
2023-05-01,0.77252375215853,0.12269360402988791,0.0926438786274176,0.08213875848385902
2023-06-01,0.784654855319,0.0330137135124671,0.16039146231475818,0.021939966900953792
2023-07-01,0.812902155535,0.092654838634597,0.06559271133363351,0.028850299186167997
2023-08-01,0.829937993075,0.016074195898825215,0.05241503431237752,0.02572784766841255
2023-09-01,0.8019465764201,0.119809888367865007,0.061375659917046986,0.016867878311712096
2023-10-01,0.806933521404225,0.0032426297720924025,0.00043970890326174684,0.18938413867689757
2023-11-01,0.94846575687,0.01281188360997561,0.03240185379626209,0.04320508145013715
2024-03-01,0.7915128168900001,0.1372779881543759,1.630023326710736e-05,0.07119289513994059
2024-04-01,0.7005062577833368,0.16574143145373643,0.0022550646962370556,0.051497250358298826
