Date,PAM_1,PAM_2,PAM_3,PAM_4
2020-02-18,,,,1.7169922372772817e-08
2020-02-19,,,,0.0011318237520754337
2020-02-20,,,,2.4619458490089674e-13
2020-02-21,,,,4.214811895053572e-07
2020-02-22,,,,0.00011751518468372524
2020-02-23,,,,2.5546941628817876e-07
2020-02-24,,,,5.056214114063096e-09
2020-03-17,,2.5438030348823304e-08,,7.784918543141117e-12
2020-03-18,0.10724189132452011,3.166172973578796e-06,0.659561961889267,1.5200768161555134e-12
2020-03-19,0.6244584321975708,9.34321724344045e-06,0.8944286406040192,2.4726655283302534e-06
2020-03-20,0.112381711602211,0.09183566272258759,0.8972950279712677,0.00019213769701309502
2020-03-21,0.025386150926351547,1.0904300751235496e-07,0.32845688611268997,1.9503352058358736e-11
2020-03-22,6.475257396232337e-05,7.11114626028575e-05,0.4743931144475937,6.250226078918786e-07
2020-03-23,0.02083510532975197,2.242251696815689e-11,0.8865559101104736,1.0119933335772657e-08
2020-03-24,1.4758113138668705e-05,1.1517945495143067e-05,,2.2673506464343518e-05
2020-03-25,0.002150519285351038,,,0.00010658267274266109
2020-03-26,0.04012402892112732,,,5.871886635776258e-13
2020-04-18,2.1525986326764723e-08,0.003247362095862627,,1.9042697106674833e-12
2020-04-19,1.8360982721787877e-05,8.727764622129541e-10,,7.795635610818863e-05
2020-04-20,7.038353942334652e-05,4.907650509267114e-05,,4.327709197948781e-12
2020-04-21,2.104277882608585e-06,7.032549547147937e-06,,2.9957010205805545e-09
2020-04-22,0.0003991115663666278,3.855116403883585e-07,,2.3419117667344835e-07
2020-04-23,0.3305240869522095,2.908250962718739e-06,,2.993657296883334e-13
2020-05-17,,0.00021044099412392825,,1.338809852313716e-05
2020-05-18,4.854216939520484e-08,5.447133389679948e-06,,1.2625854139969306e-08
2020-05-19,1.4811457731411792e-05,0.021496174857020378,,9.778263120097108e-06
2020-05-20,1.2105660971428733e-06,1.601177609700244e-05,,9.736489229878603e-14
2020-05-21,0.00024759757798165083,2.904201437559095e-06,,4.286552268695232e-08
2020-05-22,1.923772714462757e-07,0.0046274662017822266,,3.774574749981774e-11
2020-05-23,2.581037827908972e-09,,,
2020-06-17,,9.176696948998142e-07,0.9887908697128296,
2020-06-18,7.194263616838725e-06,2.1131800167495385e-05,0.9387264847755432,
2020-06-19,3.8044940993131604e-06,0.01081505510956049,0.8884121775627136,
2020-06-20,0.00042981861042790115,4.417088348418474e-05,0.9964956641197205,
2020-06-21,0.0022668454330414534,3.029119034181349e-05,0.7666355967521667,
2020-06-22,6.1474725043808576e-06,1.273336920348811e-06,0.9963958859443665,
2020-06-23,0.002276101615279913,0.0001657949760556221,0.9966816306114197,
2020-06-24,,0.0010712015209719539,,
2020-07-17,,0.0001531306916149333,,
2020-07-18,0.034553781151771545,0.05658905208110809,,
2020-07-19,0.023140115663409233,0.03070349432528019,,
2020-07-20,0.001467964262701571,0.00016962212976068258,,
2020-07-21,1.2275470908207353e-05,0.012385981157422066,,
2020-07-22,0.0008008787990547717,0.004508255515247583,,
2020-07-23,0.0009022493613883853,9.053037208772707e-10,,
2020-07-24,2.5785455363802612e-05,0.00016545945254620165,,
2020-08-16,,,0.5483689904212952,
2020-08-17,0.023903239518404007,,0.974275529384613,
2020-08-18,0.0013880940387025476,0.03020692802965641,0.752079963684082,
2020-08-19,9.149501420324668e-05,0.07469999045133591,0.703909695148468,
2020-08-20,0.010540886782109737,0.019893182441592216,0.9269358515739441,
2020-08-21,2.476123336236924e-05,0.0005184332840144634,0.8601228594779968,
2020-08-22,0.00015121197793632746,0.00023872182646300644,0.842121422290802,
2020-08-23,,0.014304093085229397,,
2020-09-17,,0.15911462903022766,0.8732360601425171,
2020-09-18,1.608472848602105e-05,0.024471912533044815,0.8111662864685059,0.00061564747011289
2020-09-19,2.4690510969094248e-08,0.001168966293334961,0.3496381342411041,0.0011599245481193066
2020-09-20,5.090627382742241e-05,0.010641902685165405,0.17492204904556274,0.16097694635391235
2020-09-21,2.46718241214694e-06,2.1117584765306674e-05,0.9886589646339417,7.31723709401777e-12
2020-09-22,7.838397868908942e-05,1.3386417776928283e-05,0.9757911562919617,5.5716885327683485e-08
2020-09-23,7.591095254610991e-07,0.00033373510814271867,0.7847980856895447,0.0005243574851192534
2020-09-24,,9.799694089451805e-05,0.7044932842254639,0.0012850805651396513
2020-09-25,,,,0.11003164947032928
2020-10-17,0.23304443061351776,2.5327889829895867e-07,,
2020-10-18,0.001264535472728312,8.553602270922056e-09,0.6653241515159607,3.4940170735353604e-05
2020-10-19,0.2260804921388626,0.0003127121308352798,0.9642403721809387,0.000197091736481525
