Date,Conf1,Conf2,Conf3,Conf4
2020-03-31,0.03438589927400739,0.9249440837888,0.0005101789615063498,0.040159839816859375
2020-04-30,0.058558404346546425,0.77689919822126,7.849725888014534e-05,0.16446389893776034
2020-05-31,4.310422400577783e-05,0.861191042509,0.001976336075107334,0.13678952118759347
2020-06-30,0.06311585384328824,0.830671409948,0.00019069047879979173,0.10602204644598455
2020-07-31,0.014096833228070342,0.849112442154,0.008695215879935275,0.12809550632131594
2020-08-31,0.0544493018263617,0.728307299840076,0.06005809141604319,0.15718530667733632
2020-09-30,0.04558666758657518,0.7991746955579021,0.05408008716640636,0.10115854679901577
2020-10-31,0.027532832880905397,0.9290617155706,0.014821690740728057,0.02858376009543834
2020-11-30,0.15315582859252502,0.8117379348028001,0.0033806126839495128,0.03172562462874193
2020-12-31,0.032069628150817875,0.9056699075068,0.01539494810808814,0.0468655144725603
2021-01-31,0.1405344627348556,0.776492754320166,0.02231137591341507,0.06066140941351396
2021-02-28,0.02988317973692503,0.8116604045678,0.0015181536656386555,0.15693826233924185
2021-03-31,0.023562885084638108,0.9572360516272,2.847002006862172e-05,0.019172595067718585
2021-04-30,0.07144705261140126,0.7950088446971999,0.01432058547276226,0.11922351464416696
2021-05-31,0.00011910948277081978,0.99857279284,1.0669813201179497e-07,0.00130799346341456
2021-06-30,0.04810048550474232,0.8531887135148001,0.043707964097858466,0.05500283384590516
2021-07-31,0.008878829697422192,0.91560361613,0.008765875377504386,0.06675167590474748
2021-08-31,0.01756896049945298,0.8070343528835987,0.04502484246074404,0.13037184271341318
2021-09-30,0.044976168000642976,0.7389460051314,0.06044150562255461,0.15563632224637158
2021-10-31,,,,
2021-11-30,,,,
2021-12-31,,,,
2022-01-31,0.051777105851824164,0.8791030850492401,0.008596577190256442,0.060523231042709805
2022-02-28,0.014574717785672483,0.931399353648,2.317163485732952e-05,0.05400276010116861
2022-03-31,0.03640731351512063,0.918854458890272,0.003250702363386719,0.04148752692175725
2022-04-30,0.026668246011786387,0.928200667846,0.0014539146363085384,0.043677176697478996
2022-05-31,0.003886902047434261,0.9051067532880001,0.051861166634554425e-08,0.04100629339786213
2022-06-30,0.040267567631998145,0.9123912571336,0.000195215728715156,0.047145963456154155
2022-07-31,0.023312634956407858,0.940994902884,0.001954808895655144,0.033737653276092114
2022-08-31,0.08441735038895078,0.7814055115983825,0.03289500970819066,0.1012821266561831
2022-09-30,,,,
2022-10-31,,,,
2022-11-30,,,,
2022-12-31,,,,
2023-01-31,0.03326078423684824,0.8072219296206,0.02683842699137223,0.13267886027695333
2023-02-28,0.1589969355995448,0.7404495821741474,0.004140530523132816,0.09641295178674443
2023-03-31,0.007103962331413094,0.9195799503936001,0.2737315863039916e-07,0.07331586176678039
2023-04-30,0.0022960529068848474,0.856610037579,0.1761294001211408e-05,0.14107215521665167
2023-05-31,0.09480052674959656,0.451255633596,0.25977745266235508,0.1941663874198048
2023-06-30,0.06536297182328014,0.7487496759927166,0.08854988042969027,0.09733747447864759
2023-07-31,0.07570071643023751,0.7644954036088,0.07378811873254466,0.0860157571991736
2023-08-31,0.025259867248220637,0.7092553617639514,0.1447848711274396,0.1206999015356828
2023-09-30,0.043206188163413345,0.9987336144922,0.18952002658540491,0.06854017152982182
2023-10-31,0.112078207934658733,0.58754247350281,0.15428614071756409,0.15821091796652939
2023-11-30,0.006710482594446054,0.777775049536,0.08094831783795077,0.13456615195315058
2023-12-31,,,,
2024-01-31,,,,
2024-02-29,,,,
2024-03-31,0.007059800530577406,0.7434359247342799,0.1,0.19946152451725946
2024-04-30,0.10342096009141769,0.635724479437432,0.30024749897103255045,0.16060706200411837
