date,cluster_1_mean_distance,cluster_2_mean_distance
2020-03-18,4842.904202140859,1309.6274076524007
2020-03-19,4303.711688374656,2880.9566036901247
2020-03-20,3974.3298004119365,2474.4272493108597
2020-03-21,2642.9056206101664,1520.629353973955
2020-03-22,3299.834795680981,1682.6835615036214
2020-03-23,5655.708224040294,3466.7383640967
2020-09-18,2310.401323839281,1782.085643921202
2020-09-19,4445.2227355839295,3203.1997987499662
2020-09-20,3221.930327332807,1936.7385880348986
2020-09-21,3290.170298417041,988.1930839936931
2020-09-22,2524.948416383079,1508.8907190339683
2020-09-23,2475.7800203522747,1216.5359128469347
2020-09-24,2567.0532562005105,1414.0845159534117
2020-10-18,4394.8402239187635,4965.153278483748
2020-10-19,2926.5793034241465,2759.6424033725566
2020-10-20,5926.008458384387,3264.674930986191
2020-10-21,3232.949976784349,1496.0391345647138
2020-10-22,3011.0126901173767,1443.6716545273666
2020-10-23,3225.9595945208803,1443.331853418528
2020-10-24,3194.931117662698,2222.439845182515
2022-01-17,4510.1364350929325,3316.0841436587284
2022-01-18,2511.098797907359,2280.6802470570115
2022-01-19,3259.8571842298693,1958.7159587185301
2022-01-20,2433.579797380569,2297.0025390928126
2022-01-21,3083.8998479009397,1888.3352679189472
2022-01-22,4074.7393054484783,1431.989166346223
2022-01-23,6316.670821058613,1604.4997545230683
2022-03-17,3390.420353384141,1128.7865556478687
2022-03-18,5374.569882667287,2552.8694470433816
2022-03-19,3197.524549823149,1201.6253047954458
2022-03-20,4467.09409941882,1633.486326989785
2022-03-21,5061.035958761964,1520.9947299845717
2022-03-22,3654.700235970192,1321.2964489078033
2022-03-23,4932.544515943055,3293.801448457567
2022-04-18,4171.8878029340085,2668.533267617114
2022-04-19,7487.921776305968,5446.099461795177
2022-04-20,6486.017593815544,1702.6391246703529
2022-04-21,3745.659653439788,923.2668827336147
2022-04-22,3420.7811291483727,2287.2667105353
2022-05-18,3230.98264322133,1776.6090273298257
2022-05-19,4265.569720079299,2891.019042970681
2022-05-20,7544.178455564846,7040.934587664462
2022-05-21,3204.8102084807856,7000.365230716816
2022-05-22,3638.625325807398,2664.8603523589654
2022-05-23,3135.072719062822,1906.4403807582803
2022-06-17,4169.332427838541,1242.0246484524585
2022-06-18,5468.324193966748,5439.28859996739
2022-06-19,4757.504520168108,3812.831987643782
2022-06-20,3327.203010096566,2383.408841003189
2022-06-21,3314.4832747758887,6881.705558537185
2022-06-22,2986.1238842506996,2377.566292147844
2022-06-23,3880.0688062450217,1738.0689193635396
2022-07-18,2254.0922447931503,2622.8234340545832
2022-07-19,2287.701498175648,3231.6887740769803
2022-07-20,5251.762310577258,2207.9833369548487
2022-07-21,2793.1048178102483,2286.8999639507774
2022-07-22,4634.3844333117795,7409.888237460699
2022-07-23,2967.719455664795,1719.3975909396727
2022-08-17,7674.321586745918,2968.866285812265
2022-08-18,2444.8090699657064,2948.4057715364015
2022-08-19,1739.9607070499203,2548.0120716544634
2022-08-20,3819.19184684657,2085.316524670435
2022-08-21,3439.700092524589,3247.6028403983414
2022-08-22,1942.2165055969745,1456.4747176135793
2022-08-23,1945.1666243901066,857.5699163881663
2024-03-17,3913.42181984367,3222.083643847713
2024-03-18,5255.450351876092,3249.1739925464635
2024-03-19,2980.652356656615,1551.964808436796
2024-03-20,4351.930862417557,2128.9637378059924
2024-03-21,7127.0351948538855,2719.7955313299567
2024-03-22,3894.7096752874627,1360.4952428787137
2024-03-23,3438.4620745114926,3002.7580384165963
2024-04-20,4915.181671647443,3449.123817978882
2024-04-21,6330.1437866304295,2762.9681753252557
2024-04-23,4569.264156236123,2117.6376015889336
