date,month_year,centroid_distance
2020-03-01,2020-03,48116.60216666667
2020-04-01,,49107.366
2020-05-01,,29465
2020-06-01,2020-06,32675.425714285717
2020-07-01,,38747.5
2020-08-01,2020-08,35843.3924
2020-09-01,2020-09,37489.6795
2020-10-01,2020-10,50183.025
2020-11-01,,41394.52525742574   
2020-12-01,,36694.465498
2022-01-01,2022-01,41277.50571428571
2022-03-01,2022-03,27255.209666666666
2022-04-01,2022-04,39447.399
2022-05-01,2022-05,44383.124
2022-06-01,2022-06,40526.55025
2022-07-01,2022-07,35012.135833333334
2022-08-01,2022-08,39794.71771428571
2022-09-01,,32794.08758
2022-10-01,,31768.054705742
2022-11-01,,35890.785676
2022-12-01,,24587.5687
2023-01-01,2023-01,37859.60533333333
2023-02-01,2023-02,27705.9265
2023-03-01,2023-03,47748.796
2023-04-01,2023-04,33115.906
2023-05-01,2023-05,28737.65466666667
2023-06-01,2023-06,21517.987666666668
2023-07-01,2023-07,24393.342714285714
2023-08-01,2023-08,26780.51214285714

2024-03-01,2024-03,40777.722285714284
