date,centroid_1_x,centroid_1_y,centroid_2_x,centroid_2_y,centroid_distance
2020-03-18,-16481.398,-488.42957,19543.52,579.1757,36040.734
2020-03-19,28377.291,-1743.5793,-26724.25,1642.0122,55205.453
2020-03-20,-35860.863,16.563736,33435.473,-15.442965,69296.34
2020-03-21,-14744.399,-849.6325,14744.398,849.632,29537.715
2020-03-22,-18017.715,-1709.5212,15660.252,1485.8444,33829.215
2020-03-23,-23150.508,744.63403,41606.16,-1338.2583,64790.156
2020-06-17,10558.554,-423.59048,-11324.462,454.3163,21900.62
2020-06-18,-11182.12,-1818.7871,11070.851,1800.6901,22545.406
2020-06-19,10094.731,-1645.3289,-8951.935,1459.0654,19297.998
2020-06-20,-29964.684,1317.4843,36255.605,-1594.0818,66284.266
2020-06-21,17568.822,-3157.5923,-9564.495,1718.9972,27568.06
2020-06-22,18912.488,-209.61116,-18912.486,209.6118,37827.3
2020-06-23,17346.883,-1377.8312,-15852.886,1259.1659,33304.33
2020-08-18,-22120.48,-555.6751,14442.294,362.7956,36574.31
2020-08-19,18654.727,-265.23828,-14217.038,202.14127,32875.09
2020-08-20,18377.596,1264.2296,-16963.938,-1166.9803,35425.06
2020-08-21,17863.887,-1477.3213,-13203.738,1091.9342,31173.682
2020-08-22,22662.256,-249.62192,-20503.947,225.84782,43168.82
2020-09-17,19640.408,-974.80493,-14968.238,742.91235,34651.25
2020-09-18,-17485.334,174.6239,16968.53,-169.46284,34455.582
2020-09-19,-16652.73,539.3773,12183.167,-394.6103,28851.02
2020-09-20,9224.453,354.1481,-12227.761,-469.45355,21468.02
2020-09-21,20700.205,-249.56467,-16597.459,200.10294,37300.375
2020-09-22,-30492.977,301.95,29591.691,-293.02393,60087.613
2020-09-23,23635.297,-0.062573746,-22482.361,0.058573384,46117.656
2020-09-24,-18585.42,11.428059,18400.494,-11.3140335,36985.92
2020-10-18,-30825.002,-1347.5581,36922.26,1614.1074,67811.97
2020-10-19,33642.395,839.4193,-33307.65,-831.06573,66970.88
