date,cluster_1_mean_distance,cluster_2_mean_distance
2020-03-18,20593.526389534185,13965.95145509072
2020-03-19,19715.566871921328,14178.144857109093
2020-03-20,18219.675229457036,17324.550023238255
2020-03-21,17616.000851295903,10933.401688414971
2020-03-22,14890.053056358078,12763.388769632686
2020-03-23,16797.185221974854,22712.13204191725
2020-09-18,12231.863791166525,12170.504788913662
2020-09-19,20107.372131688615,18881.61190571765
2020-09-20,16266.569072236134,13516.029437806248
2020-09-21,9975.810716980974,16649.6649062258
2020-09-22,16786.991703036507,9751.446880257212
2020-09-23,14854.181277955206,8462.851487260295
2020-09-24,11006.842789510465,12432.602143354561
2020-10-18,29253.381222836633,28462.91351393198
2020-10-19,19392.3994596551,19054.234607058726
2020-10-20,26616.19291264339,27068.58233466493
2020-10-21,12453.766203457106,17173.82458727448
2020-10-22,17522.61915086827,10025.587780613212
2020-10-23,14156.929492862617,14376.806497720512
2020-10-24,15941.316275484018,17342.062244313514
2022-01-17,16386.535085710493,15640.821593892815
2022-01-18,16568.974622750622,14426.412317312417
2022-01-19,19606.62375412171,14322.435555958366
2022-01-20,16198.379769462594,14545.075649494282
2022-01-21,20904.956257151698,13147.803442705468
2022-01-22,22374.40116228893,14953.219549482752
2022-01-23,19813.500271346933,25385.379204377932
2022-03-17,19401.107910170587,9704.94368571633
2022-03-18,37387.2440761596,25704.859102131384
2022-03-19,22804.112656786172,8575.788159102996
2022-03-20,28393.044602747515,10104.116043613598
2022-03-21,25720.900311672336,26362.944557020994
2022-03-22,9060.329922151855,22446.08108699859
2022-03-23,27792.094590667573,24376.09871041549
2022-04-18,18835.204405732977,22303.714760428156
2022-04-19,28922.350034953728,36354.98644992509
2022-04-20,29312.40041668918,28065.43597870053
2022-04-21,25587.79343945979,5851.668459200094
2022-04-22,17895.76004481967,21768.4700448659
2022-05-18,22392.077951734915,13417.952174320284
2022-05-19,25652.50019072833,22781.22641137212
2022-05-20,37398.0413945809,43337.254036190636
2022-05-21,45817.802506096676,30752.26766344844
2022-05-22,22759.72398098138,17634.34335103457
2022-05-23,19126.212467689616,14104.402877872597
2022-06-17,30619.235551697366,8388.259672409513
2022-06-18,44205.36463707879,27209.729099990025
2022-06-19,34355.194538245334,25502.877866242743
2022-06-20,22188.354359115358,15444.137415175312
2022-06-21,43106.30553326935,29997.364228662103
2022-06-22,18085.35056426031,17555.74888880903
2022-06-23,18418.689910848763,21116.52887967766
2022-07-18,15760.565033769859,17195.095748921358
2022-07-19,14990.000136153782,21535.664669944137
2022-07-20,27289.252168910676,20853.2297874002
2022-07-21,16371.684254754675,15624.536654658517
2022-07-22,35354.41607359796,30932.198306134746
2022-07-23,19726.651143739546,11724.236888478059
2022-08-17,48024.042096086756,15609.756758222646
2022-08-18,15546.85232212939,21320.734459960815
2022-08-19,10870.495475928317,17439.787121978607
2022-08-20,21248.913292020647,16910.756305101604
2022-08-21,22816.681320217,18482.363797002163
2022-08-22,12080.728642216382,9540.918366802327
2022-08-23,13536.06950586726,6607.134777954791
2024-03-17,20892.404622961054,24942.264693500565
2024-03-18,34403.62877840081,22344.12787421705
2024-03-19,19690.388615090644,10657.942523014131
2024-03-20,25805.492335819315,18769.979370353412
2024-03-21,29798.949268767527,46681.685693343716
2024-03-22,29008.975040810124,9081.418651398339
2024-03-23,19441.87527981253,21985.613691132407
2024-04-20,29729.32815773569,24867.874718549396
2024-04-21,34379.80273573068,27419.62283824237
2024-04-23,26494.693530185712,18079.087766998586
