date,month_year,centroid_distance
2020-03-01,2020-03,59972.425500000005

2020-09-01,2020-09,46297.61542857142
2020-10-01,2020-10,65148.73971428571

2022-01-01,2022-01,58997.57785714286
2022-02-01,,0.0
2022-03-01,2022-03,63861.889571428575
2022-04-01,2022-04,76268.975
2022-05-01,2022-05,91502.869
2022-06-01,2022-06,76111.32485714286
2022-07-01,2022-07,107874.42166666668
2022-08-01,2022-08,95914.60900000001

2024-03-01,2024-03,91261.38714285714
