date,cluster_1_mean_distance,cluster_2_mean_distance
2020-03-18,14621.653635757551,9494.130265701522
2020-03-19,35464.32665201564,20565.704391149568
2020-03-20,14230.115779092857,16020.89886444496
2020-03-21,10557.51803053606,9677.4888886534
2020-03-22,13501.982249254263,12702.744192419348
2020-03-23,22631.673569491428,22408.71628443539
2020-06-18,12365.128651552359,15754.082652884048
2020-06-19,12146.278821254704,12991.447576198578
2020-06-20,18289.072082543502,23099.026825252608
2020-06-21,14573.852978558907,21525.26488780742
2020-06-22,10037.825807697876,7096.457110795925
2020-06-23,14646.923232299867,7865.713336624185
2020-08-17,14726.92942167636,13446.958314040368
2020-08-18,15799.052617563977,10212.78366028031
2020-08-19,11558.853709395764,8792.447036283165
2020-08-20,16230.83092352314,12789.769024135352
2020-08-21,13351.768045480538,8693.068727068256
2020-08-22,10663.551101796736,8095.888997834368
2020-09-18,10420.751833233378,11317.54108233287
2020-09-19,15728.52498284492,15556.632469470542
2020-09-20,15112.372565215388,14856.7534967959
2020-09-21,15281.815704423003,10824.370011681769
2020-09-22,14724.954157157177,11141.78630464755
2020-09-23,11626.08212839974,9637.685031483363
2020-10-18,17848.368135647237,31134.6553852059
2020-10-19,18651.36995865302,16502.498624309126
2020-10-20,27156.039687437496,18741.713848972006
2020-10-21,11828.38463890607,9944.296931591798
2020-10-22,15443.15543538034,11684.640109233396
2020-10-23,14238.411486046969,9526.852510821627
2020-10-24,18590.585612407842,14029.376694425091
2022-01-18,13498.870562964737,12335.19287553818
2022-01-19,16096.82848702097,11247.504633702069
2022-01-20,13659.653849967297,15162.82099650974
2022-01-21,14850.256766234865,12146.955859396083
2022-01-22,14714.897345243784,8216.139479213949
2022-01-23,12810.405356386793,9402.384707130414
2022-03-18,16501.311330807686,17704.30748701183
2022-03-19,14448.701454620714,7482.2164151678135
2022-03-20,15356.000971195803,9590.677215188627
2022-03-21,12705.178438938856,9043.08537408647
2022-03-22,10371.285597602224,11403.330051090514
2022-03-23,14544.407919489075,20300.686844301104
2022-04-18,11515.28009542646,16297.157511974292
2022-04-19,19362.088111019377,19381.04518445384
2022-04-20,18903.418424239637,9050.371627681589
2022-04-21,12746.602725587747,6857.706969395625
2022-04-22,17553.98066377289,14499.610105189962
2022-04-23,15636.632576677417,18139.99399992533
2022-05-19,13480.244997730786,18525.672732794625
2022-05-20,29389.642298743925,31219.624541945683
2022-05-21,26680.228460928785,23715.873462691212
2022-05-22,13475.53417427061,14841.249675150875
2022-05-23,10119.809360475943,11254.54990400166
2022-06-18,20140.90046512625,22784.90101784017
2022-06-19,22918.52410470139,18605.542960167382
2022-06-20,15791.887554722136,14501.268696432004
2022-06-21,23055.582194000173,26386.76610262904
2022-06-22,11195.288169707423,13869.572555255058
2022-06-23,12777.943348560619,12110.081671727934
2022-07-18,13561.329435528296,14962.505975134565
2022-07-19,17196.09610153717,18039.341204603905
2022-07-20,15133.852128651453,15835.50020776224
2022-07-21,13920.14157946447,11155.092413240662
2022-07-22,25231.57152890713,29402.656868104958
2022-07-23,17316.332777853164,9424.008227941433
2022-08-16,13875.427267747637,13752.418814568759
2022-08-17,22213.20771405528,34836.22859220836
2022-08-18,14209.475585084932,14569.453081107597
2022-08-19,11274.904899815207,17243.028661939476
2022-08-20,9813.208511918936,11303.751165464028
2022-08-21,13749.135050379207,13262.077389849846
2022-08-22,12151.474061296165,6761.401742679819
2022-08-23,9499.91347004868,4750.297619270063
2023-01-17,14304.196698625618,13438.642126577433
2023-01-18,16604.823470453463,14363.177918379479
2023-01-19,18118.246137404225,13322.601367270214
2023-01-20,8806.557800048158,11840.96554668126
2023-01-21,13065.045379790014,9090.09416102463
2023-01-22,13614.333167492136,28683.418656410504
2023-01-23,12839.477803917802,18540.60030850952
2023-01-24,12493.33106998746,18128.72112450529
2023-02-18,9075.378028639616,5480.514745601529
2023-02-19,13210.228345843967,11184.14950591394
2023-02-20,9232.635526478904,6457.237850790002
2023-02-21,12212.932645713607,5751.425552901974
2023-02-22,23259.677963565544,22197.802610946044
2023-02-23,16219.532751543333,15902.642469305343
2023-03-19,11050.424742458243,11367.961046207232
2023-03-20,19003.308217820493,19729.901867231678
2023-03-21,15544.44645405165,7353.743961401478
2023-03-22,17808.970301077134,19196.400078062044
2023-03-23,14022.623428629608,16581.57233441432
2023-03-24,16383.40260861829,7713.664242853395
2023-03-25,13897.109946637076,6243.263342005861
2023-04-19,13970.93982873834,17091.850724284228
2023-04-21,10635.710528691998,7337.430415148187
2023-04-23,11630.351552551332,10579.489251466512
2023-04-25,12894.616678727129,10831.628642735392
