date,centroid_1_x,centroid_1_y,centroid_2_x,centroid_2_y,centroid_distance
2020-03-18,26415.248,-780.9728,-24383.305,720.8973,50820.75
2020-03-19,49627.746,-2705.1316,-39791.61,2168.9795,89552.1
2020-03-20,-50782.887,1005.3278,50782.918,-1005.3277,101585.71
2020-03-21,18292.56,-456.74997,-15271.772,381.32257,33574.793
2020-03-22,-29148.178,3085.8672,21988.975,-2327.935,51422.926
2020-03-23,62697.246,-1115.2826,-28168.326,501.06912,90879.945
2020-06-18,-13641.33,3124.7446,15077.255,-3453.6672,29462.395
2020-06-19,-14212.436,1219.4532,16517.154,-1417.2017,30842.498
2020-06-20,-41267.367,2642.5132,48444.305,-3102.0825,89895.414
2020-06-21,-11134.7,-862.49365,20230.654,1567.0663,31459.312
2020-06-22,-24971.434,709.19806,24722.955,-702.1418,49714.43
2020-06-23,23749.256,-1976.8053,-23749.248,1976.8043,47662.76
2020-08-17,-19667.115,-673.4435,26608.445,911.1282,46302.684
2020-08-18,23381.428,-245.5217,-19917.516,209.14847,43301.332
2020-08-19,-20960.494,631.5412,21171.146,-637.88904,42150.76
2020-08-20,28658.936,-100.176125,-18907.766,66.090744,47566.992
2020-08-21,19070.266,-2283.0999,-18140.006,2171.732,37475.992
2020-08-22,-29450.99,1.0365636,29746.986,-1.0478265,59197.977
2020-09-18,-20053.742,-279.4474,20053.744,279.44632,40111.38
2020-09-19,12498.904,-278.91833,-23469.16,523.7236,35977.016
2020-09-20,19024.064,-2607.3787,-12291.266,1684.6031,31608.086
2020-09-21,24482.686,189.66396,-11389.375,-88.23167,35873.137
2020-09-22,-33145.61,760.1809,30595.941,-701.70636,63758.312
2020-09-23,-21948.22,619.55396,19269.09,-543.9273,41233.73
2020-10-18,59050.426,-2144.2917,-37358.44,1356.5931,96472.414
2020-10-19,45765.617,1604.1819,-45765.61,-1604.1813,91587.44
2020-10-20,47452.133,-12.018636,-45137.383,11.433722,92589.516
2020-10-21,22874.42,-830.2473,-21114.855,766.38116,44018.24
2020-10-22,28755.17,775.9907,-10501.036,-283.38336,39270.5
2020-10-23,21357.502,2131.024,-17474.314,-1743.564,39024.64
2020-10-24,26009.914,-2851.1333,-26009.906,2851.133,52331.42
2022-01-18,-33601.504,-11.046728,35324.645,11.61236,68926.15
2022-01-19,25838.316,1966.9342,-25838.305,-1966.9313,51826.137
2022-01-20,-21954.082,133.681,22850.162,-139.1378,44805.074
2022-01-21,26719.285,80.363075,-25162.826,-75.68121,51882.344
2022-01-22,-22468.97,1394.2532,20949.326,-1299.957,43501.81
2022-01-23,-23195.348,672.4912,19759.004,-572.8639,42972.402
2022-03-18,-13858.695,3159.3413,22373.188,-5100.3735,37161.434
2022-03-19,21184.465,-498.67188,-20764.97,488.7977,41961.06
2022-03-20,-21475.422,726.31915,21475.416,-726.3205,42975.395
2022-03-21,21434.436,-2143.8171,-20185.832,2018.9357,41827.92
2022-03-22,-14392.93,83.443,21589.389,-125.16461,35982.926
2022-03-23,-20837.584,4093.1414,20221.701,-3972.1616,41843.926
2022-04-18,-18128.766,4236.1973,16567.438,-3871.3567,35630.87
2022-04-19,-48319.22,-622.8534,23000.654,296.48767,71325.8
2022-04-20,18249.055,-244.1638,-17358.854,232.25214,35611.094
2022-04-21,24328.953,37.124924,-23847.191,-36.38921,48176.2
