Date,npy.number,ACI,ADI,NDSI,Bioacoustic Index,Hybrid
2020-03-18,segment_1601.npy,75344.79,4.7957554,0.8316249,-898255.5,-205726.27
2020-03-18,segment_1109.npy,76728.586,4.8021784,0.82186395,-858573.6,-195459.86
2020-03-18,segment_851.npy,77228.07,4.8003635,0.8354768,-825111.6,-186969.48
2020-03-18,segment_656.npy,77102.56,4.808424,0.80575913,-793189.0,-179020.2
2020-03-18,segment_69.npy,76681.19,4.8219776,0.80779624,-951954.75,-218816.98
2020-03-18,segment_311.npy,77420.3,4.817816,0.8033574,-891592.94,-203541.75
2020-03-18,segment_81.npy,77969.22,4.8185816,0.7859532,-893002.4,-203756.89
2020-03-18,segment_1280.npy,77235.2,4.7972803,0.8519949,-877118.5,-199969.4
2020-03-18,segment_1065.npy,77763.37,4.8036766,0.8296101,-844615.0,-191711.5
2020-03-18,segment_1600.npy,76535.664,4.8014574,0.82608104,-904896.06,-207088.69
2020-03-18,segment_1435.npy,77977.484,4.7934933,0.8412092,-856710.75,-194681.9
2020-03-18,segment_1779.npy,75560.016,4.7993374,0.84025186,-850659.4,-193773.44
2020-03-18,segment_816.npy,78107.55,4.8058567,0.81394696,-833094.9,-188745.42
2020-03-18,segment_706.npy,77351.59,4.807316,0.8209427,-855522.9,-194541.4
2020-03-18,segment_1272.npy,80133.984,4.7979116,0.83670646,-847877.9,-191934.56
2020-03-18,segment_842.npy,77918.97,4.7994537,0.84061605,-826233.44,-187077.2
2020-03-18,segment_1153.npy,79401.79,4.801529,0.82720906,-858356.4,-194737.23
2020-03-18,segment_1417.npy,78615.65,4.7935066,0.8238242,-850634.5,-193003.31
2020-03-18,segment_434.npy,76657.52,4.8084717,0.794904,-812430.6,-183941.88
2020-03-18,segment_996.npy,77632.09,4.8005233,0.8286642,-848907.5,-192817.44
2020-03-18,segment_1665.npy,74529.89,4.8046556,0.83057475,-902081.1,-206886.4
2020-03-18,segment_38.npy,77719.08,4.8221817,0.8096654,-956213.6,-219622.23
2020-03-18,segment_216.npy,79966.8,4.8241773,0.8072047,-891274.3,-202825.47
2020-03-18,segment_1792.npy,76634.09,4.799164,0.8425127,-862997.2,-196589.36
2020-03-18,segment_1137.npy,79114.375,4.8018208,0.8245568,-865966.25,-196711.56
2020-03-18,segment_1136.npy,77718.92,4.8010178,0.822531,-865633.9,-196977.33
2020-03-18,segment_580.npy,74886.79,4.801235,0.81298935,-828121.4,-188307.25
2020-03-18,segment_1727.npy,77067.34,4.8004436,0.84561,-894395.0,-204330.5
2020-03-18,segment_90.npy,77699.625,4.825416,0.7938791,-986548.1,-227210.72
2020-03-18,segment_388.npy,76877.12,4.813487,0.80738515,-900015.1,-205783.1
2020-03-18,segment_464.npy,71846.97,4.801494,0.81166196,-805460.1,-183401.89
2020-03-18,segment_696.npy,76946.94,4.8065033,0.8328497,-863099.6,-196536.77
2020-03-18,segment_363.npy,75651.06,4.8102665,0.79769504,-878675.8,-200754.78
2020-03-18,segment_18.npy,76270.86,4.82986,0.79658747,-947224.25,-217736.94
2020-03-18,segment_1398.npy,77217.66,4.8037057,0.83112,-889223.8,-203000.12
2020-03-18,segment_1161.npy,77103.16,4.799621,0.82664275,-870433.3,-198331.12
2020-03-18,segment_1101.npy,76328.375,4.8003163,0.82279205,-866305.0,-197492.75
2020-03-18,segment_586.npy,77236.48,4.804889,0.8055756,-878711.06,-200367.25
2020-03-18,segment_561.npy,77138.14,4.8056455,0.8299717,-845727.8,-192146.02
2020-03-18,segment_584.npy,76385.56,4.8031063,0.8055157,-863779.75,-196847.14
2020-03-18,segment_1797.npy,77155.01,4.80186,0.8405386,-878664.75,-200376.03
2020-03-18,segment_1038.npy,77054.5,4.8030934,0.8361565,-828714.4,-187913.56
2020-03-18,segment_928.npy,77202.914,4.7969656,0.81659454,-851915.44,-193676.72
2020-03-18,segment_30.npy,75939.09,4.826879,0.7877064,-922778.94,-211708.56
2020-03-18,segment_1360.npy,77093.84,4.804254,0.8375165,-888708.75,-202902.31
2020-03-18,segment_549.npy,78433.445,4.8105545,0.8162258,-862701.4,-196065.58
2020-03-18,segment_1706.npy,74796.445,4.7973614,0.83193225,-866834.25,-198008.05
2020-03-18,segment_1796.npy,76807.35,4.801335,0.8464134,-865732.56,-197229.89
2020-03-18,segment_689.npy,79051.33,4.807431,0.82159823,-856896.44,-194459.88
2020-03-18,segment_366.npy,75801.31,4.808822,0.80237925,-881095.9,-201322.23
2020-03-18,segment_1460.npy,77707.016,4.8002377,0.83383095,-877516.0,-199950.84
2020-03-18,segment_1262.npy,81896.01,4.79742,0.8301616,-850521.9,-192155.06
2020-03-18,segment_1579.npy,79112.375,4.7970905,0.83974415,-883334.3,-201054.08
2020-03-18,segment_1700.npy,75943.68,4.797062,0.8448413,-861743.0,-196448.42
2020-03-18,segment_1574.npy,77439.92,4.7945943,0.8231897,-862907.56,-196365.5
2020-03-18,segment_1439.npy,77376.11,4.7952414,0.8365532,-894617.75,-204309.0
2020-03-18,segment_1658.npy,74960.52,4.800844,0.83364844,-890964.2,-203999.5
2020-03-18,segment_1359.npy,78064.516,4.8032513,0.8314832,-888406.25,-202584.03
2020-03-18,segment_984.npy,77635.23,4.7896805,0.8165796,-834202.06,-189140.31
2020-03-18,segment_727.npy,77779.33,4.810995,0.8189858,-888968.56,-202795.9
2020-03-18,segment_302.npy,76604.69,4.8127375,0.8152756,-895749.6,-204784.83
2020-03-18,segment_806.npy,76443.31,4.806032,0.82208234,-862731.25,-196570.58
2020-03-18,segment_58.npy,78859.62,4.8240185,0.8059937,-897895.6,-204757.6
