Date,npy.number,ACI,ADI,NDSI,Bioacoustic Index,Hybrid
2020-02-18,segment_1313.npy,77151.49,4.804605,0.79747206,-895674.06,-204629.25
2020-02-18,segment_535.npy,69986.63,4.825842,0.7767113,-1035464.2,-241367.98
2020-02-18,segment_152.npy,74632.484,4.8132133,0.78087276,-910410.2,-208943.03
2020-02-18,segment_1050.npy,76540.26,4.807313,0.7901595,-877593.6,-200261.94
2020-02-18,segment_575.npy,69339.766,4.818817,0.7724608,-998806.5,-232365.28
2020-02-18,segment_1285.npy,74499.336,4.7993283,0.7927472,-906556.75,-208012.95
2020-02-18,segment_1600.npy,76331.94,4.795244,0.7684782,-816716.25,-185094.69
2020-02-18,segment_1414.npy,74132.97,4.7980256,0.791956,-882866.5,-202181.98
2020-02-18,segment_186.npy,76687.39,4.8156652,0.7865302,-886228.4,-202383.84
2020-02-18,segment_259.npy,75697.5,4.8172727,0.76835495,-932250.8,-214136.94
2020-02-18,segment_1620.npy,76102.06,4.7808056,0.77939296,-757188.9,-170270.31
2020-02-18,segment_1123.npy,70486.39,4.8093553,0.7587101,-684830.7,-153584.69
2020-02-18,segment_816.npy,74878.75,4.808797,0.78042126,-903350.25,-207116.47
2020-02-18,segment_274.npy,76136.69,4.8184094,0.7714059,-934707.6,-214641.34
2020-02-18,segment_358.npy,75744.91,4.8135786,0.7697015,-937084.25,-215333.44
2020-02-18,segment_1777.npy,71852.06,4.8018074,0.80419266,-968905.1,-224261.86
2020-02-18,segment_1595.npy,77556.125,4.7905526,0.76845926,-801465.7,-180976.0
2020-02-18,segment_144.npy,74084.21,4.8114367,0.7828393,-907178.75,-208272.23
2020-02-18,segment_1237.npy,65554.6,4.8110275,0.7902458,-1017084.56,-237881.1
2020-02-18,segment_1184.npy,76433.54,4.801836,0.80237293,-897495.25,-205264.03
2020-02-18,segment_169.npy,75416.875,4.8145595,0.7808866,-905333.0,-207477.62
2020-02-18,segment_348.npy,75380.56,4.8104715,0.76442116,-874029.6,-199660.88
2020-02-18,segment_1455.npy,74075.164,4.8037934,0.7720773,-809598.9,-183879.53
2020-02-18,segment_1658.npy,75560.87,4.793826,0.783919,-758481.0,-170728.64
2020-02-18,segment_965.npy,76060.41,4.80233,0.8118046,-880015.6,-200987.4
2020-02-18,segment_299.npy,76330.35,4.8121223,0.7794146,-861338.4,-196250.61
2020-02-18,segment_165.npy,72661.59,4.8145485,0.7924822,-968795.94,-224032.19
2020-02-18,segment_291.npy,76835.95,4.817368,0.7806096,-887289.0,-202611.86
2020-02-18,segment_1357.npy,70367.14,4.811404,0.7922475,-1004790.1,-233604.34
2020-02-18,segment_1742.npy,71024.305,4.8056,0.7982532,-993135.94,-230526.5
2020-02-18,segment_934.npy,74788.77,4.8085394,0.80294895,-854638.4,-194961.0
2020-02-18,segment_1487.npy,75696.8,4.792059,0.75984514,-782826.6,-176781.06
2020-02-18,segment_689.npy,72577.01,4.810805,0.7602211,-941296.1,-217178.39
2020-02-18,segment_640.npy,75175.625,4.817768,0.77693164,-970356.8,-223793.9
2020-02-18,segment_810.npy,72390.34,4.810484,0.7756826,-959492.94,-221774.25
2020-02-18,segment_554.npy,62969.73,4.8201156,0.80605894,-1074852.9,-252969.38
2020-02-18,segment_681.npy,72447.1,4.808073,0.75115246,-858791.75,-196584.78
2020-02-18,segment_1364.npy,66430.05,4.811942,0.79384804,-1020099.75,-238416.03
2020-02-18,segment_414.npy,72783.11,4.808289,0.77228886,-890676.7,-204472.0
2020-02-18,segment_1082.npy,77311.09,4.817128,0.77055216,-861763.6,-196111.73
2020-02-18,segment_778.npy,72413.08,4.8097057,0.7667933,-877070.44,-201162.94
2020-02-18,segment_512.npy,69804.414,4.8242555,0.77876353,-1038587.0,-242194.25
2020-02-18,segment_1109.npy,65981.98,4.8203278,0.71806425,-527848.25,-115465.19
2020-02-18,segment_93.npy,75648.14,4.8075557,0.80902314,-904103.8,-207112.52
