Date,npy.number,ACI,ADI,NDSI,Bioacoustic Index,Hybrid
2020-03-18,segment_1249.npy,82981.0,4.8301682,0.80155724,-741405.06,-164604.61
2020-03-18,segment_1183.npy,78859.664,4.833376,0.7983891,-717073.0,-159551.92
2020-03-18,segment_368.npy,82859.41,4.8360643,0.78089064,-780339.9,-174368.72
2020-03-18,segment_52.npy,80509.875,4.8364906,0.7627877,-773294.1,-173194.66
2020-03-18,segment_1218.npy,81038.33,4.830377,0.8148538,-730185.75,-162285.44
2020-03-18,segment_1297.npy,79805.78,4.82897,0.7985492,-730011.0,-162549.9
2020-03-18,segment_1052.npy,79367.4,4.8342485,0.7819441,-726543.4,-161792.6
2020-03-18,segment_1600.npy,79095.42,4.8343434,0.7862813,-863110.06,-196002.25
2020-03-18,segment_256.npy,80119.92,4.833605,0.79253995,-774056.25,-173482.67
2020-03-18,segment_120.npy,82893.51,4.8359785,0.775151,-785003.4,-175526.06
2020-03-18,segment_1193.npy,82965.51,4.833419,0.78980625,-709112.75,-156535.4
2020-03-18,segment_1242.npy,82028.984,4.8299475,0.79338276,-727261.9,-161306.81
2020-03-18,segment_1423.npy,81840.08,4.82056,0.8012346,-712540.25,-157673.64
2020-03-18,segment_1685.npy,81186.72,4.8239985,0.8052165,-746094.0,-166225.4
2020-03-18,segment_320.npy,83272.22,4.8356137,0.7798995,-783520.75,-175060.73
2020-03-18,segment_845.npy,80318.54,4.834381,0.79046655,-747633.0,-166827.2
2020-03-18,segment_1134.npy,81451.14,4.8332376,0.7858488,-745700.9,-166061.03
2020-03-18,segment_1417.npy,81774.11,4.816819,0.8007368,-719087.25,-159326.88
2020-03-18,segment_862.npy,80873.055,4.8340764,0.80246323,-716285.4,-158851.67
2020-03-18,segment_1358.npy,75092.58,4.8242145,0.80288976,-690635.4,-153884.3
2020-03-18,segment_952.npy,83171.086,4.834068,0.7953634,-746529.56,-165838.22
2020-03-18,segment_1597.npy,80825.49,4.8264685,0.8095453,-733413.5,-163145.6
2020-03-18,segment_627.npy,82009.45,4.8354416,0.7835514,-774887.0,-173217.98
2020-03-18,segment_379.npy,81230.33,4.83615,0.77842516,-783931.2,-175673.81
2020-03-18,segment_785.npy,80571.37,4.8359365,0.7841139,-734713.75,-163534.19
2020-03-18,segment_1080.npy,79988.75,4.832919,0.79040575,-743818.4,-165956.0
2020-03-18,segment_669.npy,80449.21,4.8333426,0.7916216,-777701.25,-174311.61
2020-03-18,segment_876.npy,80899.27,4.8328943,0.8074674,-736535.7,-163907.69
2020-03-18,segment_1533.npy,80833.164,4.82408,0.8024335,-733170.7,-163082.97
2020-03-18,segment_1018.npy,79824.02,4.8346863,0.78793645,-745444.9,-166403.81
2020-03-18,segment_1180.npy,81031.91,4.83235,0.796629,-728376.0,-161834.61
2020-03-18,segment_1304.npy,78635.84,4.8236165,0.8029944,-700502.6,-155465.28
2020-03-18,segment_1618.npy,83058.95,4.8270535,0.79496545,-743223.0,-165039.61
2020-03-18,segment_1677.npy,80606.3,4.823373,0.8113078,-741954.56,-165335.66
2020-03-18,segment_385.npy,81613.055,4.835728,0.7827915,-784504.56,-175721.47
2020-03-18,segment_723.npy,80335.59,4.8337603,0.79326934,-742233.6,-165473.1
2020-03-18,segment_249.npy,80774.34,4.83545,0.7691013,-768613.8,-171958.47
2020-03-18,segment_857.npy,80389.41,4.83498,0.7830104,-732568.9,-163043.47
2020-03-18,segment_705.npy,80451.14,4.831437,0.80214995,-758081.9,-169406.28
2020-03-18,segment_61.npy,81235.836,4.8367367,0.75913566,-768841.94,-171900.12
2020-03-18,segment_611.npy,81360.234,4.8350964,0.78705525,-767589.0,-171555.78
2020-03-18,segment_945.npy,82199.5,4.835586,0.7892678,-746177.75,-165993.16
2020-03-18,segment_1404.npy,82646.945,4.821064,0.7803552,-695216.6,-153141.02
2020-03-18,segment_1016.npy,84579.875,4.8349204,0.77824813,-746180.7,-165398.8
2020-03-18,segment_559.npy,83499.055,4.8361816,0.7834819,-763461.4,-169989.17
2020-03-18,segment_635.npy,82308.71,4.835827,0.7862989,-767278.9,-171241.14
2020-03-18,segment_869.npy,80422.86,4.833432,0.8052799,-712487.1,-158014.66
2020-03-18,segment_894.npy,80030.01,4.831413,0.80600107,-738008.5,-164493.22
2020-03-18,segment_1276.npy,79624.84,4.8269577,0.801664,-735856.9,-164056.6
2020-03-18,segment_324.npy,82872.97,4.835558,0.7868895,-775134.1,-173063.88
2020-03-18,segment_436.npy,80730.08,4.834474,0.77867013,-778817.94,-174520.56
2020-03-18,segment_1294.npy,80913.08,4.829235,0.8049917,-725734.25,-161203.89
2020-03-18,segment_115.npy,82741.47,4.836447,0.7759409,-776022.5,-173318.86
2020-03-18,segment_670.npy,82408.75,4.8342123,0.79481214,-768745.0,-171582.66
2020-03-18,segment_525.npy,83816.766,4.835767,0.788113,-785856.25,-175508.47
2020-03-18,segment_1517.npy,81667.59,4.8231616,0.80257505,-719850.25,-159544.25
2020-03-18,segment_140.npy,81460.48,4.836279,0.7724327,-775465.1,-173499.77
2020-03-18,segment_969.npy,80021.24,4.833201,0.78518504,-752999.5,-168243.16
2020-03-18,segment_1777.npy,79929.805,4.820265,0.8126693,-731651.4,-162928.98
2020-03-18,segment_123.npy,83841.69,4.8361177,0.77380806,-770928.75,-171770.36
2020-03-18,segment_1362.npy,78031.484,4.825928,0.7949934,-680704.1,-150666.75
2020-03-18,segment_1300.npy,77333.31,4.8252573,0.79134303,-711359.0,-158505.02
2020-03-18,segment_1062.npy,80110.17,4.833454,0.7855102,-700981.5,-155216.42
2020-03-18,segment_1205.npy,80428.35,4.832893,0.7950248,-720393.2,-159989.8
2020-03-18,segment_778.npy,79902.1,4.8348484,0.78481555,-761225.5,-170329.44
2020-03-18,segment_1760.npy,82057.18,4.8206487,0.8107838,-730315.25,-162063.11
2020-03-18,segment_1415.npy,81450.47,4.816566,0.7984783,-704758.6,-155825.64
2020-03-18,segment_224.npy,80228.92,4.835151,0.773443,-781332.5,-175274.5
2020-03-18,segment_1715.npy,80692.21,4.823162,0.803352,-741225.5,-165131.92
2020-03-18,segment_1098.npy,81445.46,4.8321834,0.80454046,-752201.0,-167687.47
2020-03-18,segment_828.npy,83653.47,4.8349924,0.7836196,-739049.2,-163847.53
2020-03-18,segment_132.npy,80969.39,4.8360186,0.7749677,-792729.6,-177938.66
2020-03-18,segment_1350.npy,78550.266,4.826442,0.81975883,-689051.25,-152623.83
2020-03-18,segment_614.npy,81852.06,4.8349495,0.7881751,-774869.3,-173252.9
2020-03-18,segment_5.npy,82035.305,4.8360167,0.7656843,-761516.7,-169868.94
2020-03-18,segment_1026.npy,80660.34,4.8349323,0.7812545,-709916.8,-157312.72
2020-03-18,segment_818.npy,81905.65,4.835172,0.7896575,-753226.4,-167828.78
2020-03-18,segment_28.npy,80026.56,4.8366613,0.76442254,-775276.5,-173811.08
2020-03-18,segment_1471.npy,84123.87,4.824656,0.8052727,-711606.5,-156869.25
2020-03-18,segment_363.npy,82996.03,4.8347683,0.7901164,-770530.9,-171882.31
2020-03-18,segment_1636.npy,81334.61,4.82231,0.81532365,-758035.25,-169173.75
2020-03-18,segment_251.npy,81721.695,4.8346086,0.7794638,-772102.0,-172593.67
2020-03-18,segment_641.npy,83195.36,4.835759,0.7896348,-759827.06,-169156.52
2020-03-18,segment_1755.npy,79995.16,4.820054,0.8171847,-730993.9,-162748.27
2020-03-18,segment_1445.npy,81143.15,4.825301,0.808374,-738604.0,-164363.81
2020-03-18,segment_880.npy,80309.31,4.833152,0.7998207,-737317.5,-164250.64
2020-03-18,segment_1211.npy,79524.65,4.8325357,0.79946816,-706617.9,-156771.9
2020-03-18,segment_273.npy,80134.92,4.8358307,0.76599187,-754240.6,-168525.03
2020-03-18,segment_54.npy,82605.625,4.836876,0.7611825,-770351.5,-171935.06
2020-03-18,segment_41.npy,80916.83,4.8367906,0.76198107,-760318.4,-169848.98
2020-03-18,segment_1142.npy,78463.75,4.832197,0.793788,-712619.25,-158537.47
2020-03-18,segment_462.npy,80824.81,4.834977,0.79171455,-779136.6,-174576.55
2020-03-18,segment_1084.npy,80959.17,4.8328714,0.8041594,-712807.1,-157960.58
2020-03-18,segment_39.npy,81212.74,4.8365498,0.756349,-766335.44,-171279.28
2020-03-18,segment_176.npy,80729.805,4.835778,0.7664193,-779300.4,-174641.25
2020-03-18,segment_711.npy,80929.516,4.8328753,0.80385536,-746998.4,-166515.81
2020-03-18,segment_337.npy,87110.98,4.8357544,0.7876044,-767142.9,-170006.56
2020-03-18,segment_1577.npy,80427.97,4.8267517,0.8018841,-739583.25,-164787.4
2020-03-18,segment_744.npy,78737.35,4.833542,0.78236324,-710443.56,-157925.16
2020-03-18,segment_81.npy,80317.67,4.83611,0.7782321,-785960.06,-176409.19
2020-03-18,segment_1467.npy,80754.8,4.8231525,0.803727,-712786.1,-158006.42
2020-03-18,segment_1223.npy,80550.87,4.830512,0.80239815,-714188.9,-158408.1
2020-03-18,segment_1783.npy,82246.766,4.8198147,0.816293,-737605.4,-163838.25
2020-03-18,segment_1789.npy,81549.516,4.819683,0.80968624,-726931.0,-161343.97
