Date,npy.number,ACI,ADI,NDSI,Bioacoustic Index,Hybrid
2020-03-17,segment_1411.npy,73843.3,4.809616,0.82215095,-894150.3,-205075.34
2020-03-17,segment_1192.npy,73808.83,4.8132977,0.8147532,-876587.1,-200693.17
2020-03-17,segment_278.npy,77728.41,4.8239775,0.8032149,-977668.6,-224983.66
2020-03-17,segment_200.npy,79436.266,4.8260055,0.8094542,-939031.06,-214897.28
2020-03-17,segment_752.npy,76650.59,4.821224,0.813882,-962799.9,-221535.9
2020-03-17,segment_234.npy,75869.195,4.822839,0.81238335,-978175.7,-225575.22
2020-03-17,segment_1727.npy,77402.77,4.8201795,0.8075523,-891065.6,-203414.31
2020-03-17,segment_998.npy,76980.414,4.8158073,0.82495576,-935288.3,-214575.56
2020-03-17,segment_1228.npy,74793.92,4.8159046,0.8093948,-945903.8,-217776.06
2020-03-17,segment_82.npy,79356.086,4.8262796,0.8085601,-800935.5,-180393.44
2020-03-17,segment_971.npy,75323.36,4.8051066,0.8056989,-879715.6,-201096.66
2020-03-17,segment_991.npy,77299.08,4.818589,0.8147338,-940431.75,-215781.77
2020-03-17,segment_1528.npy,73943.36,4.7871222,0.86727184,-872557.25,-199652.06
2020-03-17,segment_254.npy,75492.25,4.8233213,0.8134832,-988730.44,-228308.14
2020-03-17,segment_1488.npy,76876.66,4.8128796,0.8123328,-907773.5,-207722.81
2020-03-17,segment_125.npy,77621.87,4.8223476,0.8160119,-938938.56,-215327.77
2020-03-17,segment_594.npy,74449.92,4.823274,0.8032289,-1001049.4,-231648.45
2020-03-17,segment_475.npy,75191.836,4.8168383,0.80787104,-962841.5,-221911.02
2020-03-17,segment_1742.npy,75948.24,4.814268,0.8093462,-863769.56,-196953.92
2020-03-17,segment_109.npy,80387.625,4.8247833,0.81623423,-891615.75,-202805.62
2020-03-17,segment_1083.npy,75001.28,4.8144608,0.8188879,-889946.94,-203735.0
2020-03-17,segment_1215.npy,73420.38,4.808489,0.81656665,-866729.2,-198325.8
2020-03-17,segment_598.npy,73426.766,4.8213415,0.8048448,-1002437.75,-232251.34
2020-03-17,segment_636.npy,74326.516,4.8176346,0.7986337,-974939.9,-225151.94
2020-03-17,segment_979.npy,76290.625,4.8095207,0.8003464,-920952.0,-211163.94
2020-03-17,segment_532.npy,75956.266,4.8190618,0.80461216,-971769.56,-223951.92
